Community Amenities,Apartment Amenities
Yoga Studio w/ On-Demand Fitness Classes,Iconic Views of Binghamton
24-Hour Cardio Center,Fully-Furnished with Full Size Extra Long Mattresses
24-Hour Concierge Desk,Complimentary Utility Package
Interactive Spin Bike Room,"Deluxe, Leather Furniture Package"
Golf Simulator,LED Lighting
"Game Room with Pool Table, Ping Pong Table & Xbox One® and PS4®",High-Speed Internet with Wifi Throughout Building & Cable Included
Controlled Access,"Stainless Steel Appliances Including Glass Cooktops, Microwave & Dishwasher"
Indoor Basketball Court,Phone with Free Local Calling
iMac/PC Business Center with Free Printing,Wood-Style Flooring
Multiple Study Lounges,Private Bedrooms and Bathroom*
On-Site Movie Theater,Granite Counters
Convenient to Local Restaurants,
Two Tanning Beds,
Convenient Access to BU and Public Bus Systems,
Ideal Location Across From Binghamton University Downtown Center,
Located Near Washington & State Street,
Complimentary Laundry Center,
